InregistrareCititor,2026-06-03 20:20:55
IesireAplicatie,2026-06-03 20:21:23
ListeazaCititori,2026-06-03 20:22:02
InregistrareCititor,2026-06-03 20:22:19
AdaugaCarte,2026-06-03 20:23:03
ImprumutaCarte,2026-06-03 20:23:19
ReturneazaCarte,2026-06-03 20:23:34
CautaCartiDupaAutor,2026-06-03 20:23:45
ListeazaCartiSectiune,2026-06-03 20:23:53
AfiseazaIstoricCititor,2026-06-03 20:24:13
VerificaDisponibilitateCarte,2026-06-03 20:24:21
ListeazaCititori,2026-06-03 20:24:26
EliminaCititor,2026-06-03 20:24:34
ListeazaCititori,2026-06-03 20:24:39
IesireAplicatie,2026-06-03 20:24:42
